id,data,classe,fase,objetivo,proposta_ia,intervencao_pesquisador,conhecimento,resultado,impacto
C105,2026-07-16,ESTRUTURAL_GENERALIZACAO,Cardinalidade semântica das coleções,Impedir que a manipulação direta ultrapasse o valor semântico curado,Permitir adição ilimitada de quadradinhos e apenas sincronizar a quantidade resultante,"Usar o valor curado ou derivado como limite e aplicar tremor, som e tooltip ao atingi-lo","Semântica das categorias, scaffolding e fonte de verdade",MODIFICADA,Coleções manipuláveis respeitam a quantidade da situação e não produzem cardinalidades semanticamente impossíveis
C107,2026-07-16,ESTRUTURAL_GENERALIZACAO,Arquitetura das representações com unidades,Expressar criação e remoção de unidades como capacidades arquiteturais explícitas,Manter controles e tela acoplados diretamente a CirculoVenn e a verificações concretas,"Definir interfaces-base e especializadas, centralizar estado comum em classe abstrata e operar implementações por polimorfismo","Orientação a objetos, extensibilidade e redução de acoplamento",MODIFICADA,Representações declaram capacidades por contratos; controles deixam de depender da classe concreta e novas implementações podem variar sem condicionais por categoria
C109,2026-07-16,REFINAMENTO_VISUAL_OPERACIONAL,Rótulos dos diagramas,Uniformizar a ênfase dos personagens,Manter pesos tipográficos diferentes entre representações,"Exibir em negrito todos os nomes curados sem alterar cor, posição ou papel",Consistência visual entre representações,MODIFICADA,Personagens recebem a mesma hierarquia tipográfica em todos os diagramas
C110,2026-07-16,REFINAMENTO_VISUAL_OPERACIONAL,Affordance das unidades,Comunicar que os quadradinhos são manipuláveis,Manter unidades totalmente planas ou aplicar volume forte,"Usar relevo 2,5D discreto, intensificado apenas no foco e no arraste","IHC, contagem visual e manipulação direta",MODIFICADA,Unidades permanecem contáveis e ganham affordance sem alterar a paleta semântica
C112,2026-07-16,ESTRUTURAL_GENERALIZACAO,Mapeamento visual-semântico,Corrigir o incremento do Referendo na comparação,Usar o índice visual como índice do estado semântico,Introduzir contrato explícito entre ordem visual e papéis semânticos por categoria,Semântica de Vergnaud e arquitetura de representações,MODIFICADA,Cada clique altera uma unidade no papel correto e recalcula o valor relativo
C113,2026-07-16,REFINAMENTO_VISUAL_OPERACIONAL,Pickup de elementos,Tornar perceptível o momento em que um objeto é pego,Alterar apenas o cursor ou manter a pintura original,"Combinar cursor, escala de 106%, elevação, sombra e prioridade de pintura","Affordance, manipulação direta e arquitetura gráfica",MODIFICADA,Elementos em trânsito recebem prioridade visual sem alterar coordenadas reais
C114,2026-07-16,REFINAMENTO_VISUAL_OPERACIONAL,Cursores de interação,Padronizar a mão usada nos elementos manipuláveis,Usar cursores vetoriais personalizados,Adotar o cursor nativo já consolidado nos controles laterais,Consistência visual e compatibilidade de plataforma,MODIFICADA,A mesma mão passa a indicar disponibilidade em toda a interface
C115,2026-07-16,REFINAMENTO_VISUAL_OPERACIONAL,Estados do pickup,Distinguir disponibilidade de movimento ativo,Manter a mesma mão durante todas as fases,Usar mão no mouseover e cursor de movimento durante o arraste,Affordance e estados de interação,MODIFICADA,Cursor comunica separadamente que o item pode ser pego e que está em deslocamento
C116,2026-07-16,ESTRUTURAL_GENERALIZACAO,Arraste físico,Dar continuidade física ao deslocamento sem perder precisão,Copiar instantaneamente as coordenadas do cursor,"Introduzir controlador de mola amortecida, origem fantasma e conclusão exata na soltura","IHC, animação e separação entre estado visual e semântico",MODIFICADA,O objeto persegue o cursor com atraso limitado e valida na coordenada real de soltura
C117,2026-07-16,ESTRUTURAL_GENERALIZACAO,Sincronização do enunciado,Manter os valores conhecidos do texto coerentes com os diagramas,Atualizar apenas Vergnaud e a representação complementar,Criar contrato comum para marcadores textuais e sincronizador pelo estado compartilhado,Arquitetura de estado e representação textual,MODIFICADA,Texto manipulável acompanha o estado sem alterar a situação curada
C118,2026-07-16,CONSISTENCIA_TEORICO_METODOLOGICA,Incógnita no enunciado,Preservar a função semântica da interrogação,Substituir o ponto de interrogação pelo valor derivado,Sincronizar somente valores conhecidos e manter a incógnita original visível,Teoria dos Campos Conceituais e validade da tarefa,MODIFICADA,O texto não revela automaticamente a resposta e mantém o papel desconhecido
C119,2026-07-16,CONSISTENCIA_TEORICO_METODOLOGICA,Sequenciamento da modelagem,Impedir adição de unidades antes da modelagem em Vergnaud,Liberar o controle complementar assim que a situação fosse carregada,Condicionar a adição à explicitação dos elementos semânticos no diagrama formal,Validade metodológica e ordem das ações,MODIFICADA,A representação complementar deixa de antecipar a modelagem formal
C120,2026-07-16,ESTRUTURAL_GENERALIZACAO,Controles quantitativos,Unificar regras de adição e remoção de quantidades positivas,Controlar botões por eventos locais e estados compartilhados entre agrupamentos,"Calcular cada controle pelo estado semântico, limites curados, piso zero e relação aditiva",Arquitetura de domínio e consistência entre representações,MODIFICADA,"Texto, Vergnaud, coleções e barras permanecem sincronizados sem alterar a curadoria"
C121,2026-07-16,REFINAMENTO_VISUAL_OPERACIONAL,Drag-and-drop com momento,Explicitar massa e inércia no seguimento elástico,Usar posição suavizada sem modelo físico explícito,"Aplicar massa-mola-amortecedor com limite de velocidade, atraso máximo e soltura exata","IHC, física discreta e preservação semântica",MODIFICADA,O elemento persegue o cursor com pequeno atraso e momento sem afetar regras da C120
C122,2026-07-16,CONSISTENCIA_TEORICO_METODOLOGICA,Sinal e cardinalidade de medidas,Impedir que a escolha do sinal produza quantidades negativas,Propagar o sinal relativo e limitar visualmente a quantidade resultante,"Validar a relação antes da propagação, permitir sinal apenas na transformação ou no valor relativo e preservar quantidades não negativas","Teoria dos Campos Conceituais, invariantes numéricos e sincronização",MODIFICADA,Escolhas incompatíveis são bloqueadas sem alterar dados curados nem gerar estados negativos
